Feature_Interval,Feature_Interval_Order,Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Oversampler,Before_Majority,Before_Minority,Synthetic_Generated,Total_Time_s,Time_per_sample_ms,Success_Rate
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,ADASYN,4020.0,60.0,3960.0,0.0241,0.0061,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,BSSMOTE w/o ADASYN Linear,4020.0,60.0,1.6,0.831,572.2765,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,BSSMOTE w/o ADASYN RBF,4020.0,60.0,4.6,1.0526,253.8008,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,BSSMOTE w/o Clustering Linear,4020.0,60.0,20.4,0.0472,4.1431,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,BSSMOTE w/o Clustering RBF,4020.0,60.0,546.6,0.1239,0.2976,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,BSSMOTE w/o SVM,4020.0,60.0,3108.6,1.027,0.3303,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,BorderlineSMOTE,4020.0,60.0,3960.0,0.012,0.003,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,CTGAN,4020.0,60.0,3960.0,10.1135,2.5539,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,Full BSSMOTE Linear,4020.0,60.0,23.0,1.1319,241.382,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,Full BSSMOTE RBF,4020.0,60.0,499.2,1.061,2.1003,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,KMeansSMOTE,4020.0,60.0,3960.0,0.1506,0.038,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,None,4020.0,60.0,0.0,0.0011,,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,SMOTE,4020.0,60.0,3960.0,0.008,0.002,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,SVMSMOTE,4020.0,60.0,3960.0,0.0549,0.0139,1.0
Features > 30,3,Satellite,Satellite,40900,5100,36,67.0,Extreme,TVAE,4020.0,60.0,3960.0,5.3939,1.3621,1.0
